Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Вид затвора;Расположение ходового узла;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 50 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч906бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Под электропривод;50;16;Чугун;18;По запросу;12480;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 80 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч906бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Под электропривод;80;16;Чугун;28;По запросу;17520;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 100 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч906бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Под электропривод;100;16;Чугун;34;По запросу;18480;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 150 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч906бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Под электропривод;150;16;Чугун;67;По запросу;35070;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 200 PN 1,6 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч906бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Под электропривод;200;16;Чугун;90;По запросу;61560;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 250 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч906бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Под электропривод;250;10;Чугун;136;По запросу;98400;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 300 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч906бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Под электропривод;300;10;Чугун;203;По запросу;117600;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 350 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч906бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Под электропривод;350;10;Чугун;381;По запросу;207840;Под заказ
Задвижка параллельная литая с выдвижным шпинделем фланцевая под электропривод 30ч906бр DN 400 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч906бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +225;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С выдвижным шпинделем;Фланцевое;Под электропривод;400;10;Чугун;440;По запросу;274560;Под заказ
Задвижка параллельная литая с невыдвижным шпинделем фланцевая с редуктором 30ч515бр DN 500 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;Россия;30ч515бр;Вода, пар, жидкие среды не агрессивные к материалам изделия;От -15 до +100;От -15 до +40;У3;D;ОТК;10;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Параллельная;С невыдвижным шпинделем;Фланцевое;Редукторный;500;10;Чугун;870;По запросу;429400;Под заказ
