Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Вид затвора;Расположение ходового узла;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Задвижка клиновая с выдвижным шпинделем под приварку под электропривод 31лс945нж DN 100 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Под электропривод;100;250;Хладостойкая сталь;80,3;По запросу;244400;Под заказ
Задвижка клиновая с выдвижным шпинделем под приварку под электропривод 31лс945нж DN 150 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Под электропривод;150;250;Хладостойкая сталь;297,5;По запросу;519070;Под заказ
Задвижка клиновая с выдвижным шпинделем под приварку под электропривод 31лс945нж DN 200 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Под электропривод;200;250;Хладостойкая сталь;548,2;По запросу;792000;Под заказ
Задвижка клиновая с выдвижным шпинделем под приварку под электропривод 31лс945нж DN 250 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Под приварку;Под электропривод;250;250;Хладостойкая сталь;807,5;По запросу;1215720;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 50 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;50;100;Хладостойкая сталь;26;По запросу;66520;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 80 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;80;100;Хладостойкая сталь;64;По запросу;93160;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 100 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;100;100;Хладостойкая сталь;82,5;По запросу;133050;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 100 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;100;100;Хладостойкая сталь;82,5;По запросу;133050;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая ручная 31лс16нж DN 150 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс16нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;150;100;Хладостойкая сталь;178;По запросу;277630;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 31лс516нж DN 150 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс516нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;150;100;Хладостойкая сталь;253;По запросу;346460;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 31лс516нж DN 200 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс516нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;200;100;Хладостойкая сталь;623;По запросу;545180;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая с редуктором 31лс516нж DN 250 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс516нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;250;100;Хладостойкая сталь;534;По запросу;787100;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 31лс916нж DN 50 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс916нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;50;100;Хладостойкая сталь;26;По запросу;73290;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 31лс916нж DN 80 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс916нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;80;100;Хладостойкая сталь;64;По запросу;102810;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 31лс916нж DN 100 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс916нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;100;100;Хладостойкая сталь;82,5;По запросу;146300;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 31лс916нж DN 150 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс916нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;150;100;Хладостойкая сталь;253;По запросу;297930;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 31лс916нж DN 200 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс916нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;200;100;Хладостойкая сталь;623;По запросу;496650;Под заказ
Задвижка клиновая литая с выдвижным шпинделем фланцевая под электропривод 31лс916нж DN 250 PN 10,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс916нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;250;100;Хладостойкая сталь;534;По запросу;775440;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая ручная 31лс45нж DN 50 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс45нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;50;160;Хладостойкая сталь;37;По запросу;73870;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая ручная 31лс45нж DN 80 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс45нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;80;160;Хладостойкая сталь;91;По запросу;103240;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая ручная 31лс45нж DN 100 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс45нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;100;160;Хладостойкая сталь;129;По запросу;147740;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая ручная 31лс45нж DN 150 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс45нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;150;160;Хладостойкая сталь;204;По запросу;317520;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая с редуктором 31лс545нж DN 150 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс545нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;150;160;Хладостойкая сталь;260;По запросу;384910;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая с редуктором 31лс545нж DN 200 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс545нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;200;160;Хладостойкая сталь;320;По запросу;605660;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая с редуктором 31лс545нж DN 250 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс545нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;250;160;Хладостойкая сталь;430;По запросу;874360;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31лс945нж DN 50 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;50;160;Хладостойкая сталь;37;По запросу;81210;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31лс945нж DN 80 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;80;160;Хладостойкая сталь;91;По запросу;114040;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31лс945нж DN 100 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;100;160;Хладостойкая сталь;129;По запросу;162430;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31лс945нж DN 150 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;150;160;Хладостойкая сталь;260;По запросу;330910;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31лс945нж DN 200 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;200;160;Хладостойкая сталь;320;По запросу;551660;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая под электропривод 31лс945нж DN 250 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс945нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Под электропривод;250;160;Хладостойкая сталь;430;По запросу;861400;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая ручная 31лс45нж DN 50 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс45нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;50;250;Хладостойкая сталь;35,5;По запросу;100650;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая ручная 31лс45нж DN 80 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс45нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;80;250;Хладостойкая сталь;88;По запросу;135360;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая ручная 31лс45нж DN 100 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс45нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;100;250;Хладостойкая сталь;94,5;По запросу;192960;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая ручная 31лс45нж DN 150 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс45нж;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Ручной;150;250;Хладостойкая сталь;298;По запросу;440640;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая с редуктором 31лс545нж DN 150 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс545нж ;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;150;250;Хладостойкая сталь;350;По запросу;491180;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая с редуктором 31лс545нж DN 200 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс545нж ;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;200;250;Хладостойкая сталь;645;По запросу;769390;Под заказ
Задвижка клиновая с выдвижным шпинделем фланцевая с редуктором 31лс545нж DN 250 PN 25,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Задвижки;Россия;31лс545нж ;Жидкие и газообразные среды (вода, воздух, пар, нефть, азот, природный газ, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год);От -60 до +425;От -60 до +60;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Клиновая;С выдвижным шпинделем;Фланцевое;Редукторный;250;250;Хладостойкая сталь;950;По запросу;1128670;Под заказ
