Наименование;Раздел;Страна производитель;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Герметизация подвижного соединения;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан запорный сальниковый муфтовый ручной 15б1п DN 15 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;16;Латунь;0,2;По запросу;510;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 20 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;16;Латунь;0,3;По запросу;620;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 25 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;16;Латунь;0,6;По запросу;840;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 32 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;16;Латунь;0,8;По запросу;1220;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 40 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;16;Латунь;1,4;По запросу;1870;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б1п DN 50 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б1п;Вода, насыщенный пар;От +1 до +200;От +1 до +35;УХЛ4;А;ОТК;7;7000;2400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;16;Латунь;1,9;По запросу;2520;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 15 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;15;16;Латунь;0,2;По запросу;520;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 20 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;20;16;Латунь;0,3;По запросу;720;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 25 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;25;16;Латунь;0,6;По запросу;880;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 32 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;32;16;Латунь;0,8;По запросу;1080;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 40 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;40;16;Латунь;1,4;По запросу;1800;Под заказ
Клапан запорный сальниковый муфтовый ручной 15б3р DN 50 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15б3р;Вода;От +1 до +70;От +1 до +35;УХЛ4;А;ОТК;5;5000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Муфтовое;Ручной;50;16;Латунь;1,9;По запросу;2040;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 50 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;50;6;Чугун;26;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 80 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;80;6;Чугун;49;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 100 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;100;6;Чугун;56;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 125 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;125;6;Чугун;69;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 150 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;150;6;Чугун;108;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 200 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;200;6;Чугун;177;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 250 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;250;6;Чугун;279;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""после себя"" нормально открытый 22ч6п DN 300 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч6п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;300;6;Чугун;378;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 50 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч7п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;50;6;Чугун;26;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 80 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч7п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;80;6;Чугун;49;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 100 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч7п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;100;6;Чугун;56;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 125 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч7п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;125;6;Чугун;69;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 150 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч7п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;150;6;Чугун;108;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 200 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч7п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;200;6;Чугун;177;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 250 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч7п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;250;6;Чугун;279;По запросу;0;Под заказ
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 300 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;Россия;22ч7п;Слабая соляная кислота (НСI) до 12%, слабоагрессивные растворы каустик (NaOH) до 20%, серной кислоты (H2SO4) до 8%, сырая вода;От -15 до +60;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Сальниковое;Фланцевое;Ручной;300;6;Чугун;378;По запросу;0;Под заказ
Клапан запорный мембранный гуммированный фланцевый ручной 15ч73гм DN 50 PN 0,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч73гм;Серная, фосфорная кислоты, хлористый цинк, едкий натрий (калий), бихромат натрия (калия), спирты (C2 –C5);От -15 до +100;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Диафрагмовое;Фланцевое;Ручной;50;6;Чугун;11;По запросу;0;Под заказ
Клапан запорный мембранный гуммированный фланцевый ручной 15ч73гм DN 80 PN 0,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч73гм;Серная, фосфорная кислоты, хлористый цинк, едкий натрий (калий), бихромат натрия (калия), спирты (C2 –C5);От -15 до +100;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Диафрагмовое;Фланцевое;Ручной;80;6;Чугун;14,2;По запросу;0;Под заказ
Клапан запорный мембранный гуммированный фланцевый ручной 15ч73гм DN 100 PN 0,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч73гм;Серная, фосфорная кислоты, хлористый цинк, едкий натрий (калий), бихромат натрия (калия), спирты (C2 –C5);От -15 до +100;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Диафрагмовое;Фланцевое;Ручной;100;6;Чугун;23,7;По запросу;0;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч74п1м DN 6 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч74п1м;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;6;16;Чугун;0,6;По запросу;0;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч74п1м DN 10 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч74п1м;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;10;16;Чугун;1,4;По запросу;2780;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч74п1м DN 15 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч74п1м;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;15;16;Чугун;2,6;По запросу;2970;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч74п1м DN 20 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч74п1м;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;20;16;Чугун;3,7;По запросу;4220;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч74п2м DN 6 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч74п2м;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;6;16;Чугун;0,6;По запросу;0;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч74п2м DN 10 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч74п2м;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;10;16;Чугун;1,4;По запросу;3360;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч74п2м DN 15 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч74п2м;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;15;16;Чугун;2,6;По запросу;3610;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч74п2м DN 20 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч74п2м;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;20;16;Чугун;3,7;По запросу;5230;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч75п1м DN 25 PN 1,0 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч75п1м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;25;10;Чугун;5,8;По запросу;6240;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч75п1м DN 32 PN 1,0 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч75п1м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;32;10;Чугун;8,5;По запросу;7480;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч75п1м DN 40 PN 1,0 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч75п1м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;40;10;Чугун;12;По запросу;12850;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч75п1м DN 50 PN 1,0 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч75п1м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;50;10;Чугун;15,2;По запросу;32560;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч75п2м DN 25 PN 1,0 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч75п2м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;25;10;Чугун;5,8;По запросу;5980;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч75п2м DN 32 PN 1,0 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч75п2м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;32;10;Чугун;8,5;По запросу;7100;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч75п2м DN 40 PN 1,0 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч75п2м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;40;10;Чугун;12;По запросу;12220;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч75п2м DN 50 PN 1,0 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч75п2м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;50;10;Чугун;15,2;По запросу;30940;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч76п1м DN 80 PN 0,63 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч76п1м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;80;6,3;Чугун;26;По запросу;40050;Под заказ
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч76п1м DN 100 PN 0,63 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч76п1м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +60;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;100;6,3;Чугун;38;По запросу;79990;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч76п2м DN 80 PN 0,63 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч76п2м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;80;6,3;Чугун;26;По запросу;38060;Под заказ
Клапан запорный мембранный футерованный фторопластом фланцевый ручной 15ч76п2м DN 100 PN 0,63 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч76п2м ;Жидкие и газообразные агрессивные среды, не содержащие твердых частиц;От -15 до +110;От -15 до +45;У3;С;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Мембранное;Фланцевое;Ручной;100;6,3;Чугун;38;По запросу;75990;Под заказ
Клапан запорный диафрагмовый эмалированный фланцевый ручной 15ч93эм DN 10 PN 1,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015;Клапаны запорные;Россия;15ч93эм ;Жидкие агрессивные среды;От -15 до +120;От -15 до +45;У3;А;ОТК;5;1700;400;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Диафрагмовое;Фланцевое;Ручной;10;16;Чугун;2;По запросу;0;Под заказ
