Наименование;Раздел;Таблица фигур;Рабочая среда;Условная пропускная способность Kvy, м³/ч;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Конструктивный тип;Принцип устройства;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25с50нж DN 80 PN 6,3 МПа У1 (Kvy - 160? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с50нж;Вода, воздух, пар, аммиак, нефть, жидкие нефтепродукты и углеводороды, масляные фракции и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"40; 63; 100; 160";От -40 до +425;От -40 до +40;У1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;80;63;Углеродистая сталь;107;По запросу;128810;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25с50нж DN 100 PN 6,3 МПа У1 (Kvy - 250? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с50нж;Вода, воздух, пар, аммиак, нефть, жидкие нефтепродукты и углеводороды, масляные фракции и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"63; 100; 160; 250";От -40 до +425;От -40 до +40;У1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;100;63;Углеродистая сталь;172;По запросу;178310;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25с50нж DN 150 PN 6,3 МПа У1 (Kvy - ? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с50нж;Вода, воздух, пар, аммиак, нефть, жидкие нефтепродукты и углеводороды, масляные фракции и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;150;63;Углеродистая сталь;275;По запросу;187440;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25с50нж DN 200 PN 6,3 МПа У1 (Kvy - ? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с50нж;Вода, воздух, пар, аммиак, нефть, жидкие нефтепродукты и углеводороды, масляные фракции и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;200;63;Углеродистая сталь;500;По запросу;235400;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""после себя"" нормально открытый 25нж90нж DN 25 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж90нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +200;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;25;40;Коррозионностойкая сталь;49;По запросу;107580;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""после себя"" нормально открытый 25нж90нж DN 50 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж90нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +350;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;50;40;Коррозионностойкая сталь;62;По запросу;158840;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""после себя"" нормально открытый 25нж90нж DN 80 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж90нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +350;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;80;40;Коррозионностойкая сталь;102;По запросу;174680;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""после себя"" нормально открытый 25нж90нж DN 100 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж90нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +350;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;100;40;Коррозионностойкая сталь;156;По запросу;291940;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""после себя"" нормально открытый 25нж90нж DN 150 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж90нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +350;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;150;40;Коррозионностойкая сталь;232;По запросу;469590;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""до себя"" нормально закрытый 25нж92нж DN 25 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж92нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +200;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;25;40;Коррозионностойкая сталь;49;По запросу;107580;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""до себя"" нормально закрытый 25нж92нж DN 50 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж92нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +350;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;50;40;Коррозионностойкая сталь;62;По запросу;158840;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""до себя"" нормально закрытый 25нж92нж DN 80 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж92нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +350;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;80;40;Коррозионностойкая сталь;102;По запросу;174680;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""до себя"" нормально закрытый 25нж92нж DN 100 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж92нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +350;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;100;40;Коррозионностойкая сталь;156;По запросу;291940;Под заказ
"Клапан регулирующий сильфонный двухседельный фланцевый ""до себя"" нормально закрытый 25нж92нж DN 150 PN 4,0 МПа УХЛ1 с МИМ, корпус ст. 12Х18Н9ТЛ";Клапаны регулирующие;25нж92нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой;;От -40 до +350;От -30 до +50;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;150;40;Коррозионностойкая сталь;232;По запросу;469590;Под заказ
"Клапан регулирующий двухседельный фланцевый ""после себя"" нормально открытый 25нж48нж DN 25 PN 6,3 МПа УХЛ1 (Kvy - 12,5? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж48нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"1,6; 2,5; 4,0; 6,3; 8; 10; 12,5";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;25;63;Коррозионностойкая сталь;36;По запросу;85000;Под заказ
"Клапан регулирующий двухседельный фланцевый ""после себя"" нормально открытый 25нж48нж DN 40 PN 6,3 МПа УХЛ1 (Kvy - 40? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж48нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"10; 16; 25; 40";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;40;63;Коррозионностойкая сталь;54;По запросу;111100;Под заказ
"Клапан регулирующий двухседельный фланцевый ""после себя"" нормально открытый 25нж48нж DN 50 PN 6,3 МПа УХЛ1 (Kvy - 63? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж48нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"16; 25; 40; 63";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;50;63;Коррозионностойкая сталь;62;По запросу;146400;Под заказ
"Клапан регулирующий двухседельный фланцевый ""после себя"" нормально открытый 25нж48нж DN 80 PN 6,3 МПа УХЛ1 (Kvy - 160? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж48нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"40; 63; 100; 160";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;80;63;Коррозионностойкая сталь;107;По запросу;193500;Под заказ
"Клапан регулирующий двухседельный фланцевый ""после себя"" нормально открытый 25нж48нж DN 100 PN 6,3 МПа УХЛ1 (Kvy - 250? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж48нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"63; 100; 160; 250";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;100;63;Коррозионностойкая сталь;172;По запросу;265300;Под заказ
"Клапан регулирующий двухседельный фланцевый ""после себя"" нормально открытый 25нж48нж DN 150 PN 6,3 МПа УХЛ1 (Kvy - ? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж48нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;150;63;Коррозионностойкая сталь;275;По запросу;455200;Под заказ
"Клапан регулирующий двухседельный фланцевый ""после себя"" нормально открытый 25нж48нж DN 200 PN 6,3 МПа УХЛ1 (Kvy - ? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж48нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально открытый;Фланцевое;200;63;Коррозионностойкая сталь;500;По запросу;557000;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25нж50нж DN 25 PN 6,3 МПа УХЛ1 (Kvy - 12,5? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж50нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"1,6; 2,5; 4,0; 6,3; 8; 10; 12,5";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;25;63;Коррозионностойкая сталь;36;По запросу;85000;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25нж50нж DN 40 PN 6,3 МПа УХЛ1 (Kvy - 40? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж50нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"10; 16; 25; 40";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;40;63;Коррозионностойкая сталь;54;По запросу;111100;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25нж50нж DN 50 PN 6,3 МПа УХЛ1 (Kvy - 63? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж50нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"16; 25; 40; 63";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;50;63;Коррозионностойкая сталь;62;По запросу;146400;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25нж50нж DN 80 PN 6,3 МПа УХЛ1 (Kvy - 160? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж50нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"40; 63; 100; 160";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;80;63;Коррозионностойкая сталь;107;По запросу;193500;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25нж50нж DN 100 PN 6,3 МПа УХЛ1 (Kvy - 250? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж50нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;"63; 100; 160; 250";От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;100;63;Коррозионностойкая сталь;172;По запросу;265300;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25нж50нж DN 150 PN 6,3 МПа УХЛ1 (Kvy - ? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж50нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;150;63;Коррозионностойкая сталь;275;По запросу;455200;Под заказ
"Клапан регулирующий двухседельный фланцевый ""до себя"" нормально закрытый 25нж50нж DN 200 PN 6,3 МПа УХЛ1 (Kvy - ? м³/ч) с МИМ, корпус сталь 12Х18Н9ТЛ";Клапаны регулирующие;25нж50нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -60 до +560;От -50 до +40;УХЛ1;В;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Двухседельный;Нормально закрытый;Фланцевое;200;63;Коррозионностойкая сталь;500;По запросу;557000;Под заказ
Клапан регулирующий сальниковый цапковый ручной 15с92бк DN 10 PN 2,5 МПа У1, корпус ст. 25, класс герметичности «А» по ГОСТ 9544-2015;Клапаны регулирующие;15с92бк;"Жидкий и газообразный аммиак с маслами ХА; ХА-23; ХА-30, природный и сжиженный газ";;От -40 до +150;От -40 до +40;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;;Цапковое;10;25;Углеродистая сталь;0,7;По запросу;0;Под заказ
Клапан регулирующий сальниковый цапковый ручной 15с92бк DN 15 PN 2,5 МПа У1, корпус ст. 25, класс герметичности «А» по ГОСТ 9544-2015;Клапаны регулирующие;15с92бк;"Жидкий и газообразный аммиак с маслами ХА; ХА-23; ХА-30, природный и сжиженный газ";;От -40 до +150;От -40 до +40;У1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;;Цапковое;15;25;Углеродистая сталь;2;По запросу;0;Под заказ
Клапан регулирующий сальниковый цапковый ручной 15лс92бк DN 10 PN 2,5 МПа ХЛ1, корпус ст. 20ХНЗА, класс герметичности «А» по ГОСТ 9544-2015;Клапаны регулирующие;15лс92бк;"Жидкий и газообразный аммиак с маслами ХА; ХА-23; ХА-30, природный и сжиженный газ";;От -70 до +150;От -40 до +40;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;;Цапковое;10;25;Хладостойкая сталь;0,7;По запросу;0;Под заказ
Клапан регулирующий сальниковый цапковый ручной 15лс92бк DN 15 PN 2,5 МПа ХЛ1, корпус ст. 20ХНЗА, класс герметичности «А» по ГОСТ 9544-2015;Клапаны регулирующие;15лс92бк;"Жидкий и газообразный аммиак с маслами ХА; ХА-23; ХА-30, природный и сжиженный газ";;От -70 до +150;От -40 до +40;ХЛ1;А;ОТК;10;1700;500;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;;;Цапковое;15;25;Хладостойкая сталь;2;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27с947нж DN 15 PN 1,6 Мпа У1 с ЭИМ, корпус ст. 25Л;Клапаны регулирующие;27с947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;15;16;Углеродистая сталь;7;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27с947нж DN 20 PN 1,6 Мпа У1 с ЭИМ, корпус ст. 25Л;Клапаны регулирующие;27с947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;20;16;Углеродистая сталь;9;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27с947нж DN 25 PN 1,6 Мпа У1 с ЭИМ, корпус ст. 25Л;Клапаны регулирующие;27с947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;25;16;Углеродистая сталь;11;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27с947нж DN 32 PN 1,6 Мпа У1 с ЭИМ, корпус ст. 25Л;Клапаны регулирующие;27с947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;32;16;Углеродистая сталь;15;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27с947нж DN 40 PN 1,6 Мпа У1 с ЭИМ, корпус ст. 25Л;Клапаны регулирующие;27с947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;40;16;Углеродистая сталь;21;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27с947нж DN 50 PN 1,6 Мпа У1 с ЭИМ, корпус ст. 25Л;Клапаны регулирующие;27с947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;50;16;Углеродистая сталь;27;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27с947нж DN 65 PN 1,6 Мпа У1 с ЭИМ, корпус ст. 25Л;Клапаны регулирующие;27с947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;65;16;Углеродистая сталь;37;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27с947нж DN 80 PN 1,6 Мпа У1 с ЭИМ, корпус ст. 25Л;Клапаны регулирующие;27с947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;80;16;Углеродистая сталь;49;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27с947нж DN 100 PN 1,6 Мпа У1 с ЭИМ, корпус ст. 25Л;Клапаны регулирующие;27с947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -40 до +425;От -40 до +40;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;100;16;Углеродистая сталь;56;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27нж947нж DN 15 PN 1,6 Мпа УХЛ1 с ЭИМ, корпус ст. 12Х18Н9ТЛ;Клапаны регулирующие;27нж947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -60 до +560;От -50 до +40;УХЛ1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;15;16;Коррозионностойкая сталь;7;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27нж947нж DN 20 PN 1,6 Мпа УХЛ1 с ЭИМ, корпус ст. 12Х18Н9ТЛ;Клапаны регулирующие;27нж947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -60 до +560;От -50 до +40;УХЛ1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;20;16;Коррозионностойкая сталь;9;По запросу;0;Под заказ
Клапан регулирующий трехходовой фланцевый 27нж947нж DN 25 PN 1,6 Мпа УХЛ1 с ЭИМ, корпус ст. 12Х18Н9ТЛ;Клапаны регулирующие;27нж947нж;Вода, воздух, пар, аммиак, жидкие нефтепродукты и углеводороды, масляные фракции, нефтехимические и другие среды, в которых скорость коррозии материала корпуса не превышает 0,2мм в год;;От -60 до +560;От -50 до +40;УХЛ1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Трехходовой;;Фланцевое;25;16;Коррозионностойкая сталь;11;По запросу;0;Под заказ
