Наименование;Раздел;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Сетчатый фильтр;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Конденсатоотводчик термодинамический фланцевый 45с13нж DN 15 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;15;40;Углеродистая сталь;1,4;По запросу;9720;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45с13нж DN 20 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;20;40;Углеродистая сталь;1,5;По запросу;10440;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45с13нж DN 25 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;25;40;Углеродистая сталь;1,6;По запросу;10560;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45с13нж DN 32 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;32;40;Углеродистая сталь;5,8;По запросу;14640;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45с13нж DN 40 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;40;40;Углеродистая сталь;5,9;По запросу;15240;15-20 рабочих дней
Конденсатоотводчик термодинамический фланцевый 45с13нж DN 50 PN 4,0 МПа У1, корпус ст. 20;Конденсатоотводчики;45с13нж;Конденсат;От -40 до +300;От -40 до +45;У1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Фланцевое;50;40;Углеродистая сталь;6,2;По запросу;16800;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45нж13нж DN 15 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;15;40;Коррозионностойкая сталь;1,2;По запросу;7320;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45нж13нж DN 20 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;20;40;Коррозионностойкая сталь;1,3;По запросу;10320;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45нж13нж DN 25 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;25;40;Коррозионностойкая сталь;1,4;По запросу;12120;15-20 рабочих дней
Конденсатоотводчик термодинамический под приварку 45нж13нж DN 32 PN 4,0 МПа УХЛ1, корпус ст. 20Х13, патрубки ст. 12Х18Н10Т;Конденсатоотводчики;45нж13нж;Конденсат;От -60 до +300;От -60 до +45;УХЛ1;ОТК;10;80000;13000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Без фильтра;Под приварку;32;40;Коррозионностойкая сталь;5;По запросу;13560;15-20 рабочих дней
