Наименование;Раздел;Таблица фигур;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Переключающее устройство ПУ 50-16-07хл1 23лс16нж1 DN 50 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс16нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;16;Хладостойкая сталь;43;По запросу;205860;Под заказ
Переключающее устройство ПУ 80-16-06хл1 23лс16нж DN 80 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;16;Хладостойкая сталь;57;По запросу;300390;Под заказ
Переключающее устройство ПУ 80-16-07хл1 23лс16нж1 DN 80 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс16нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;16;Хладостойкая сталь;62;По запросу;330210;Под заказ
Переключающее устройство ПУ 100-16-06хл1 23лс16нж DN 100 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;16;Хладостойкая сталь;79;По запросу;420350;Под заказ
Переключающее устройство ПУ 100-16-07хл1 23лс16нж1 DN 100 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс16нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;16;Хладостойкая сталь;87;По запросу;462120;Под заказ
Переключающее устройство ПУ 150-16-06хл1 23лс16нж DN 150 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;16;Хладостойкая сталь;180;По запросу;555290;Под заказ
Переключающее устройство ПУ 150-16-07хл1 23лс16нж1 DN 150 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс16нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;16;Хладостойкая сталь;195;По запросу;610740;Под заказ
Переключающее устройство ПУ 200-16-03хл1 23лс16нж DN 200 PN 1,6 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс16нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200;16;Хладостойкая сталь;250;По запросу;874230;Под заказ
Переключающее устройство ПУ 50-40-06хл1 23лс17нж DN 50 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;40;Хладостойкая сталь;39;По запросу;194920;Под заказ
Переключающее устройство ПУ 50-40-07хл1 23лс17нж1 DN 50 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс17нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;40;Хладостойкая сталь;43;По запросу;214120;Под заказ
Переключающее устройство ПУ 80-40-06хл1 23лс17нж DN 80 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;40;Хладостойкая сталь;75;По запросу;305940;Под заказ
Переключающее устройство ПУ 80-40-07хл1 23лс17нж1 DN 80 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс17нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;40;Хладостойкая сталь;84;По запросу;336600;Под заказ
Переключающее устройство ПУ 100-40-06хл1 23лс17нж DN 100 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;40;Хладостойкая сталь;94;По запросу;478300;Под заказ
Переключающее устройство ПУ 100-40-07хл1 23лс17нж1 DN 100 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс17нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;40;Хладостойкая сталь;116;По запросу;525980;Под заказ
Переключающее устройство ПУ 150-40-06хл1 23лс17нж DN 150 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;40;Хладостойкая сталь;195;По запросу;683000;Под заказ
Переключающее устройство ПУ 150-40-07хл1 23лс17нж1 DN 150 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс17нж1;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;40;Хладостойкая сталь;215;По запросу;751410;Под заказ
Переключающее устройство ПУ 25-40-03хл1 23лс17нж DN 25 PN 4,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс17нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;25;40;Хладостойкая сталь;30;По запросу;149770;Под заказ
Переключающее устройство ПУ 50-63-03хл1 23лс20нж DN 50 PN 6,3 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс20нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;63;Хладостойкая сталь;95;По запросу;496490;Под заказ
Переключающее устройство ПУ 80-63-03хл1 23лс20нж DN 80 PN 6,3 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс20нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;63;Хладостойкая сталь;135;По запросу;566590;Под заказ
Переключающее устройство ПУ 100-63-03хл1 23лс20нж DN 100 PN 6,3 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс20нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;63;Хладостойкая сталь;220;По запросу;827730;Под заказ
Переключающее устройство ПУ 50-160-03хл1 23лс19нж DN 50 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс19нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;160;Хладостойкая сталь;105;По запросу;521270;Под заказ
Переключающее устройство ПУ 80-160-03хл1 23лс19нж DN 80 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс19нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;160;Хладостойкая сталь;155;По запросу;623020;Под заказ
Переключающее устройство ПУ 100-160-03хл1 23лс19нж DN 100 PN 16,0 МПа ХЛ1, корпус ст. 20ГЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23лс19нж;Вода, воздух, пар, нефть, жидкие углеводороды и нефтепродукты, масляные фракции и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +450;От -60 до +45;ХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;160;Хладостойкая сталь;235;По запросу;910110;Под заказ
Переключающее устройство ПУ 80-6-01нж 23нж18нж DN 80 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж18нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;6;Коррозионностойкая сталь;51;По запросу;357330;Под заказ
Переключающее устройство ПУ 100-6-01нж 23нж18нж DN 100 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж18нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;6;Коррозионностойкая сталь;67;По запросу;538440;Под заказ
Переключающее устройство ПУ 200-6-01нж 23нж18нж DN 200 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж18нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200;6;Коррозионностойкая сталь;241;По запросу;1203780;Под заказ
Переключающее устройство ПУ 300-6-01нж 23нж18нж DN 300 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж18нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;300;6;Коррозионностойкая сталь;460;По запросу;2797260;Под заказ
Переключающее устройство ПУ 50-16-02нж 23нж16нж DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;16;Коррозионностойкая сталь;39;По запросу;256240;Под заказ
Переключающее устройство ПУ 50-16-03нж 23нж16нж1 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;16;Коррозионностойкая сталь;43;По запросу;293150;Под заказ
Переключающее устройство ПУ 80-16-02нж 23нж16нж DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;16;Коррозионностойкая сталь;57;По запросу;428420;Под заказ
Переключающее устройство ПУ 80-16-03нж 23нж16нж1 DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;16;Коррозионностойкая сталь;62;По запросу;471050;Под заказ
Переключающее устройство ПУ 100-16-02нж 23нж16нж DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;16;Коррозионностойкая сталь;79;По запросу;599780;Под заказ
Переключающее устройство ПУ 100-16-03нж 23нж16нж1 DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;16;Коррозионностойкая сталь;87;По запросу;659420;Под заказ
Переключающее устройство ПУ 150-16-02нж 23нж16нж DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;16;Коррозионностойкая сталь;180;По запросу;792840;Под заказ
Переключающее устройство ПУ 150-16-03нж 23нж16нж1 DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;16;Коррозионностойкая сталь;195;По запросу;871880;Под заказ
Переключающее устройство ПУ 200-16-01нж 23нж16нж DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж16нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200;16;Коррозионностойкая сталь;250;По запросу;1248420;Под заказ
Переключающее устройство ПУ 50-40-02нж 23нж17нж DN 50 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;40;Коррозионностойкая сталь;39;По запросу;277990;Под заказ
Переключающее устройство ПУ 50-40-03нж 23нж17нж1 DN 50 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;40;Коррозионностойкая сталь;43;По запросу;305090;Под заказ
Переключающее устройство ПУ 80-40-02нж 23нж17нж DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;40;Коррозионностойкая сталь;75;По запросу;436510;Под заказ
Переключающее устройство ПУ 80-40-03нж 23нж17нж1 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80;40;Коррозионностойкая сталь;84;По запросу;480320;Под заказ
Переключающее устройство ПУ 100-40-02нж 23нж17нж DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;40;Коррозионностойкая сталь;94;По запросу;682830;Под заказ
Переключающее устройство ПУ 100-40-03нж 23нж17нж1 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100;40;Коррозионностойкая сталь;116;По запросу;751070;Под заказ
Переключающее устройство ПУ 150-40-02нж 23нж17нж DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;40;Коррозионностойкая сталь;195;По запросу;975650;Под заказ
Переключающее устройство ПУ 150-40-03нж 23нж17нж1 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж1;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150;40;Коррозионностойкая сталь;215;По запросу;1073040;Под заказ
Переключающее устройство ПУ 25-40-01нж 23нж17нж DN 25 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж17нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;25;40;Коррозионностойкая сталь;30;По запросу;213440;Под заказ
Переключающее устройство ПУ 50-63-01нж 23нж20нж DN 50 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015;Переключающие устройства;23нж20нж;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50;63;Коррозионностойкая сталь;95;По запросу;708780;Под заказ
