Наименование;Раздел;Таблица фигур;Рабочая среда;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, с обязательным проведением профилактического осмотра и ремонта раз в два года, лет;Назначенный ресурс циклов за 4 года, циклов;Гарантия;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Tmax среды, ºC;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан (вентиль) дренажный под приварку ручной 1213-6-0 DN 6 PN 10,0 МПа Т450 °С, корпус ст. 30Х13;Энергетическая арматура;1213-6-0;Вода - пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;6;100;450;Жаропрочная высоколегированная сталь;0,4;По запросу;4290;Под заказ
Клапан (вентиль) дренажный под приварку ручной 805-6-0 DN 6 PN 10,0 МПа Т450 °С, корпус ст. 30Х13;Энергетическая арматура;805-6-0;Вода - пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;6;100;450;Жаропрочная высоколегированная сталь;0,4;По запросу;4290;Под заказ
Клапан (вентиль) запорный под приварку ручной 1456-10-0 DN 10 PN 10,0 МПа Т250 °С, корпус ст. 20;Энергетическая арматура;1456-10-0;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;100;280;Углеродистая сталь;3,1;По запросу;15180;Под заказ
Клапан (вентиль) трехходовой под приварку ручной 1093-10-0 DN 10 PN 13,7 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1093-10-0;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;137;560;Жаропрочная низколегированная сталь;1,1;По запросу;6930;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-1М DN 10 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура; 1с-11-1М;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;100;450;Углеродистая сталь;3,1;По запросу;12870;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-12-1 DN 10 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-1;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;250;350;Углеродистая сталь;3,1;По запросу;12870;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А12М У2) 1с-12-1ЭЧ DN 10 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-1ЭЧ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;350;Углеродистая сталь;27;По запросу;118530;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 1с-12-1ЭН DN 10 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-1ЭН;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;350;Углеродистая сталь;18;По запросу;197340;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-13-1 DN 10 PN 16,5 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-13-1;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;165;560;Жаропрочная низколегированная сталь;3,1;По запросу;13720;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А12М У2) 1с-14-1ЭЧ DN 10 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1с-14-1ЭЧ;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;373;280;Углеродистая сталь;27;По запросу;118530;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 1с-14-1ЭН DN 10 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1с-14-1ЭН;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;373;280;Углеродистая сталь;18;По запросу;197340;Под заказ
Клапан (вентиль) запорный под приварку под электропривод 1с-14-1Э DN 10 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;1с-14-1Э;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Под электропривод;10;373;280;Углеродистая сталь;3,1;По запросу;15440;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом 1с-15-1Э DN 10 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-15-1Э;Пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;545;Углеродистая сталь;27;По запросу;74840;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А12М У2) 1с-15-1ЭЧ DN 10 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-15-1ЭЧ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;545;Жаропрочная низколегированная сталь;27;По запросу;120510;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 1с-15-1ЭН DN 10 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-15-1ЭН;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;10;250;545;Жаропрочная низколегированная сталь;18;По запросу;200640;Под заказ
Клапан (вентиль) угловой под приварку ручной Т-202БМ DN 10 PN 13,7 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;Т-202БМ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;137;560;Жаропрочная низколегированная сталь;2,2;По запросу;12010;Под заказ
Клапан (вентиль) запорный под приварку ручной 588-10-0 DN 10 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;588-10-0;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;373;280;Углеродистая сталь;3,1;По запросу;12870;Под заказ
Клапан (вентиль) запорный под приварку ручной 589-10-0 DN 10 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;589-10-0;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;250;545;Жаропрочная низколегированная сталь;3,1;По запросу;14040;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-17-2 DN 10 PN 13,7 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-17-2;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;10;137;560;Жаропрочная низколегированная сталь;0,7;По запросу;15150;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-2 DN 15 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-2;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;15;100;450;Углеродистая сталь;5,4;По запросу;12290;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-12-2 DN 15 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-2;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;15;250;350;Углеродистая сталь;5,4;По запросу;14530;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-15-2 DN 15 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-15-2;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;15;250;545;Жаропрочная низколегированная сталь;5,4;По запросу;14700;Под заказ
Клапан (вентиль) запорный под приварку ручной 1456-20-0 DN 20 PN 25,0 МПа  Т250 °С, корпус ст. 20;Энергетическая арматура;1456-20-0;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;250;280;Углеродистая сталь;5,4;По запросу;24160;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-3 DN 20 PN 10,0 МПа Т425 °С, корпус ст. 20;Энергетическая арматура;1с-11-3;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;100;425;Углеродистая сталь;5,4;По запросу;16390;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-4 DN 32 PN 10,0 МПа Т425 °С, корпус ст. 20;Энергетическая арматура;1с-11-4;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;32;100;425;Углеродистая сталь;6,8;По запросу;33800;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-3М DN 20 PN 10,0 МПа Т425 °С, корпус ст. 20;Энергетическая арматура;1с-11-3М;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;100;425;Углеродистая сталь;5,4;По запросу;16390;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ГЗ-А.100/24 У1) 1с-11-3ЭГ DN 20 PN 10,0 МПа Т425 °С, корпус ст. 20;Энергетическая арматура;1с-11-3ЭГ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;100;425;Углеродистая сталь;48,1;По запросу;168160;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (Н-А2-08К У2) 1с-11-3ЭМ DN 20 PN 10,0 МПа Т425 °С, корпус ст. 20;Энергетическая арматура;1с-11-3ЭМ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;100;425;Углеродистая сталь;30,1;По запросу;123080;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А9М) 1с-11-3ЭЧ DN 20 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-3ЭЧ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;100;425;Углеродистая сталь;33,1;По запросу;159270;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В) 1с-11-3ЭН DN 20 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-3ЭН;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;100;425;Углеродистая сталь;24,1;По запросу;258640;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (AUMA SA10.2-F10-380/50/3-22) 1с-11-3ЭД DN 20 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-3ЭД;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;100;425;Углеродистая сталь;34,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (MODACT MON 52030.22E2N) 1с-11-3ЭК DN 20 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-3ЭК;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;100;425;Углеродистая сталь;37,1;По запросу;0;Под заказ
Клапан запорный под приварку ручной 1с-12-3 DN 20 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-3;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;250;350;Углеродистая сталь;5,4;По запросу;16390;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ГЗ-А.100/24 У1) 1с-12-3ЭГ DN 20 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-3ЭГ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;350;Углеродистая сталь;48,1;По запросу;168160;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (Н-А2-08К У2) 1с-12-3ЭМ DN 20 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-3ЭМ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;350;Углеродистая сталь;30,1;По запросу;125890;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А9М У2) 1с-12-3ЭЧ DN 20 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-3ЭЧ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;350;Углеродистая сталь;33,1;По запросу;159270;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 1с-12-3ЭН DN 20 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-3ЭН;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;350;Углеродистая сталь;24,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (AUMA SA10.2-F10-380/50/3-22) 1с-12-3ЭД DN 20 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-3ЭД;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;350;Углеродистая сталь;34,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (MODACT MON 52030.22E2N) 1с-12-3ЭК DN 20 PN 25,0 МПа Т350 °С, корпус ст. 20;Энергетическая арматура;1с-12-3ЭК;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;350;Углеродистая сталь;37,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-13-3 DN 20 PN 16,5 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-13-3;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;165;560;Жаропрочная низколегированная сталь;5,4;По запросу;17060;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ГЗ-А.100/24 У1) 1с-13-3ЭГ DN 20 PN 16,5 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-13-3ЭГ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;165;560;Жаропрочная низколегированная сталь;48,1;По запросу;171280;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (Н-А2-08К У2) 1с-13-3ЭМ DN 20 PN 16,5 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-13-3ЭМ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;165;560;Жаропрочная низколегированная сталь;30,1;По запросу;135400;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А9М У2) 1с-13-3ЭЧ DN 20 PN 16,5 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-13-3ЭЧ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;165;560;Жаропрочная низколегированная сталь;33,1;По запросу;161460;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 1с-13-3ЭН DN 20 PN 16,5 МПа Т560 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-13-3ЭН;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;165;560;Жаропрочная низколегированная сталь;24,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку ручной 998-20-0 DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;998-20-0;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;373;280;Углеродистая сталь;5,4;По запросу;16390;Под заказ
Клапан (вентиль) запорный под приварку с маховиком и шарнирной муфтой 998-20-Г DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура; 998-20-Г;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;373;280;Углеродистая сталь;6,9;По запросу;22810;Под заказ
Клапан (вентиль) запорный под приварку  с электроприводом (821-Э-0а) 998-20-Э DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;998-20-Э;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;24;По запросу;142580;Под заказ
Клапан (вентиль) запорный под приварку  с электроприводом (ГЗ-А.100/24 У1) 998-20-ЭГ DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура; 998-20-ЭГ;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;45,1;По запросу;168160;Под заказ
Клапан (вентиль) запорный под приварку  с электроприводом (Н-А2-08К У2) 998-20-ЭМ DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;998-20-ЭМ;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;27,1;По запросу;126820;Под заказ
Клапан (вентиль) запорный под приварку  с электроприводом (ЭП-З-100-24-А2-05-В-У1) 998-20-ЭН DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;998-20-ЭН;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;24,1;По запросу;258640;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А9М) 998-20-ЭЧ DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;998-20-ЭЧ;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;33,1;По запросу;159270;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (AUMA SA10.2-F10-380/50/3-22) 998-20-ЭД DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;998-20-ЭД;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;34,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (MODACT MON 52030.22E2N) 998-20-ЭК DN 20 PN 37,3 МПа Т280 °С, корпус ст. 20;Энергетическая арматура;998-20-ЭК;Вода;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;373;280;Углеродистая сталь;37,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку ручной 999-20-0 DN 20 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;999-20-0;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;250;545;Жаропрочная низколегированная сталь;5,4;По запросу;17060;Под заказ
Клапан (вентиль) запорный под приварку с маховиком и шарнирной муфтой 999-20-Г DN 20 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура; 999-20-Г;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;20;250;545;Жаропрочная низколегированная сталь;6,9;По запросу;25680;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (821-Э-0а) 999-20-Э DN 20 PN 25,0 МПа Т545 °С , корпус ст. 12Х1МФ;Энергетическая арматура;999-20-Э;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;545;Жаропрочная низколегированная сталь;24;По запросу;146950;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ГЗ-А.100/24 У1) 999-20-ЭГ DN 20 PN 25,0 МПа Т545 °С , корпус ст. 12Х1МФ;Энергетическая арматура;999-20-ЭГ ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;545;Жаропрочная низколегированная сталь;45,1;По запросу;168160;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (Н-А2-08К У2) 999-20-ЭМ DN 20 PN 25,0 МПа Т545 °С , корпус ст. 12Х1МФ;Энергетическая арматура;999-20-ЭМ ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;545;Жаропрочная низколегированная сталь;27,1;По запросу;130410;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ПЭМ-А9М У2) 999-20-ЭЧ DN 20 PN 25,0 МПа Т545 °С , корпус ст. 12Х1МФ;Энергетическая арматура;999-20-ЭЧ;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;545;Жаропрочная низколегированная сталь;33,1;По запросу;162700;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 999-20-ЭН DN 20 PN 25,0 МПа Т545 °С , корпус ст. 12Х1МФ;Энергетическая арматура;999-20-ЭН;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;545;Жаропрочная низколегированная сталь;24,1;По запросу;259740;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (AUMA SA10.2-F10-380/50/3-22) 999-20-ЭД DN 20 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ ;Энергетическая арматура;999-20-ЭД;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;545;Жаропрочная низколегированная сталь;34,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (MODACT MON 52030.22E2N) 999-20-ЭК DN 20 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ ;Энергетическая арматура;999-20-ЭК;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;250;545;Жаропрочная низколегированная сталь;37,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-13-31 DN 25 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1с-13-31;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;25;250;545;Жаропрочная низколегированная сталь;5,4;По запросу;33460;Под заказ
