Наименование;Раздел;Страна производитель;Обозначение ;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Тип крана;Тип прохода;Вид проходимости;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления;;;
Кран шаровой разборный проходной полнопроходной фланцевый с редуктором КШ-Р.П.ПП.Ф.РД. DN 150 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.РД.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Редукторный;150;25;Углеродистая сталь;65,2;По запросу;87270;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый с редуктором КШ-Р.П.ПП.Ф.РД. DN 200 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.РД.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Редукторный;200;25;Углеродистая сталь;135;По запросу;214940;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 10 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;10;25;Углеродистая сталь;0,5;По запросу;4270;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 15 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;15;25;Углеродистая сталь;0,7;По запросу;4270;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 20 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;20;25;Углеродистая сталь;1;По запросу;4750;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 25 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;25;25;Углеродистая сталь;1,4;По запросу;5540;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 32 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;32;25;Углеродистая сталь;1,7;По запросу;5850;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 40 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;40;25;Углеродистая сталь;4,1;По запросу;7750;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 50 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;50;25;Углеродистая сталь;5,8;По запросу;8380;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 65 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;65;25;Углеродистая сталь;8,7;По запросу;10600;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 80 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;80;25;Углеродистая сталь;10,8;По запросу;15360;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 100 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;100;25;Углеродистая сталь;19;По запросу;18040;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку ручной КШ-Р.П.ПП.П.Р. DN 125 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Ручной;125;25;Углеродистая сталь;33;По запросу;33090;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку с редуктором КШ-Р.П.ПП.П.РД. DN 150 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.РД.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Редукторный;150;25;Углеродистая сталь;52;По запросу;74280;Под заказ;;;
Кран шаровой разборный проходной полнопроходной под приварку с редуктором КШ-Р.П.ПП.П.РД. DN 200 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.П.РД.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Под приварку;Редукторный;200;25;Углеродистая сталь;105;По запросу;193560;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 10 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;10;25;Углеродистая сталь;0,6;По запросу;2730;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 15 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;15;25;Углеродистая сталь;0,7;По запросу;2840;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 20 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;20;25;Углеродистая сталь;1;По запросу;3060;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 25 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;25;25;Углеродистая сталь;1,3;По запросу;3160;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 32 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;32;25;Углеродистая сталь;2;По запросу;6330;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 40 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;40;25;Углеродистая сталь;3;По запросу;7920;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 50 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;50;25;Углеродистая сталь;5,7;По запросу;8710;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 65 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;65;25;Углеродистая сталь;8,6;По запросу;11080;Под заказ;;;
Кран шаровой разборный проходной полнопроходной муфтовый ручной КШ-Р.П.ПП.М.Р. DN 80 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;80;25;Углеродистая сталь;9,5;По запросу;14720;Под заказ;;;
Кран шаровой разборный проходной полнопроходной штуцерно-ниппельный ручной КШ-Р.П.ПП.ШН.Р. DN 10 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.ШН.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Штуцерно-ниппельное;Ручной;10;25;Углеродистая сталь;0,7;По запросу;3980;Под заказ;;;
Кран шаровой разборный проходной полнопроходной штуцерно-ниппельный ручной КШ-Р.П.ПП.ШН.Р. DN 15 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.ШН.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Штуцерно-ниппельное;Ручной;15;25;Углеродистая сталь;1,1;По запросу;4110;Под заказ;;;
Кран шаровой разборный проходной полнопроходной штуцерно-ниппельный ручной КШ-Р.П.ПП.ШН.Р. DN 20 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.ШН.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Штуцерно-ниппельное;Ручной;20;25;Углеродистая сталь;1,7;По запросу;4480;Под заказ;;;
Кран шаровой разборный проходной полнопроходной штуцерно-ниппельный ручной КШ-Р.П.ПП.ШН.Р. DN 25 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.ШН.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Штуцерно-ниппельное;Ручной;25;25;Углеродистая сталь;2,5;По запросу;5110;Под заказ;;;
Кран шаровой разборный проходной полнопроходной штуцерно-ниппельный ручной КШ-Р.П.ПП.ШН.Р. DN 32 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.ШН.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Штуцерно-ниппельное;Ручной;32;25;Углеродистая сталь;2,7;По запросу;8600;Под заказ;;;
Кран шаровой разборный проходной полнопроходной штуцерно-ниппельный ручной КШ-Р.П.ПП.ШН.Р. DN 40 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.ШН.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Штуцерно-ниппельное;Ручной;40;25;Углеродистая сталь;3;По запросу;10660;Под заказ;;;
Кран шаровой разборный проходной полнопроходной штуцерно-ниппельный ручной КШ-Р.П.ПП.ШН.Р. DN 50 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.ШН.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Штуцерно-ниппельное;Ручной;50;25;Углеродистая сталь;7,6;По запросу;11970;Под заказ;;;
Кран шаровой разборный проходной неполнопроходной фланцевый ручной КШ-Р.П.НП.Ф.Р. DN 65/50 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.НП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Неполнопроходной;Фланцевое;Ручной;65/50;25;Углеродистая сталь;13;По запросу;15200;Под заказ;;;
Кран шаровой разборный проходной неполнопроходной фланцевый ручной КШ-Р.П.НП.Ф.Р. DN 100/80 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.НП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Неполнопроходной;Фланцевое;Ручной;100/80;25;Углеродистая сталь;25;По запросу;24700;Под заказ;;;
Кран шаровой разборный проходной неполнопроходной фланцевый ручной КШ-Р.П.НП.Ф.Р. DN 125/100 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.НП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Неполнопроходной;Фланцевое;Ручной;125/100;25;Углеродистая сталь;47;По запросу;44350;Под заказ;;;
Кран шаровой разборный проходной неполнопроходной под приварку ручной КШ-Р.П.НП.П.Р. DN 65/50 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.НП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Неполнопроходной;Под приварку;Ручной;65/50;25;Углеродистая сталь;7,2;По запросу;10600;Под заказ;;;
Кран шаровой разборный проходной неполнопроходной под приварку ручной КШ-Р.П.НП.П.Р. DN 100/80 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.НП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Неполнопроходной;Под приварку;Ручной;100/80;25;Углеродистая сталь;15;По запросу;18040;Под заказ;;;
Кран шаровой разборный проходной неполнопроходной под приварку ручной КШ-Р.П.НП.П.Р. DN 125/100 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.НП.П.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Неполнопроходной;Под приварку;Ручной;125/100;25;Углеродистая сталь;27;По запросу;33090;Под заказ;;;
Кран шаровой разборный проходной неполнопроходной муфтовый ручной КШ-Р.П.НП.М.Р. DN 65/50 PN 2,5 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.НП.М.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Неполнопроходной;Муфтовое;Ручной;65/50;25;Углеродистая сталь;8;По запросу;11080;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 10 PN 2,5 МПа, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -60 до +50;ХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;10;25;Хладостойкая сталь;1,6;По запросу;8460;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 15 PN 2,5 МПа, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -60 до +50;ХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;15;25;Хладостойкая сталь;1,8;По запросу;8640;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 20 PN 2,5 МПа, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -60 до +50;ХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;20;25;Хладостойкая сталь;2,1;По запросу;9670;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 25 PN 2,5 МПа, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -60 до +50;ХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;25;25;Хладостойкая сталь;3,7;По запросу;11050;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 32 PN 2,5 МПа, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -60 до +50;ХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;32;25;Хладостойкая сталь;4,7;По запросу;12610;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 40 PN 2,5 МПа, корпус ст. 09Г2С, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -60 до +50;ХЛ1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;40;25;Хладостойкая сталь;7,3;По запросу;15200;Под заказ;;;
