Наименование;Раздел;Страна производитель;Обозначение ;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Тип крана;Тип прохода;Вид проходимости;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления;;;
Кран шаровой полнопроходной муфтовый ручной 11б27п1 DN 50 PN 1,6 МПа УХЛ4, корпус латунь, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;11б27п1;Вода, пар;От +1 до +150;От +1 до +40;УХЛ4;А;ОТК;10;10000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Муфтовое;Ручной;50;16;Латунь;1,3;По запросу;2880;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 10 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;10;16;Углеродистая сталь;1,6;По запросу;5700;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 15 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;15;16;Углеродистая сталь;1,8;По запросу;5700;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 20 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;20;16;Углеродистая сталь;2,1;По запросу;6330;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 25 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;25;16;Углеродистая сталь;3,7;По запросу;7280;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 32 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;32;16;Углеродистая сталь;4,7;По запросу;8230;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 40 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;40;16;Углеродистая сталь;7,3;По запросу;9970;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 50 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;50;16;Углеродистая сталь;11;По запросу;11400;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 65 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;65;16;Углеродистая сталь;15,5;По запросу;14720;Под заказ;;;
Кран шаровой разборный проходной полнопроходной фланцевый ручной КШ-Р.П.ПП.Ф.Р. DN 80 PN 1,6 МПа, корпус ст. 20, класс герметичности «А» по ГОСТ 9544-2015;Краны шаровые;Россия;КШ-Р.П.ПП.Ф.Р.;Неагрессивные к проточной части крана среды (вода, масло, нефтепродукты, природный газ и прочее);До +200;От -40 до +50;У1;А;ОТК;10;8000;2000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Разборный;Проходной;Полнопроходной;Фланцевое;Ручной;80;16;Углеродистая сталь;18;По запросу;18680;Под заказ;;;
