Наименование;Раздел;Таблица фигур;Вид затвора;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Цена закупки;Срок изготовления;Артикул;Картинки;Материал уплотнения
Задвижка параллельная литая с невыдвижным шпинделем фланцевая с редуктором 30ч515бр DN 800 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч515бр;Параллельная;Фланцевое;Редукторный;800;10;Чугун;0;Под заказ;1000022;0.png;-
Задвижка параллельная литая с невыдвижным шпинделем фланцевая под электропривод 30ч915бр DN 500 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч915бр;Параллельная;Фланцевое;Под электропривод;500;10;Чугун;0;Под заказ;1000023;0.png;-
Задвижка параллельная литая с невыдвижным шпинделем фланцевая под электропривод 30ч915бр DN 600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч915бр;Параллельная;Фланцевое;Под электропривод;600;10;Чугун;0;Под заказ;1000024;0.png;-
Задвижка параллельная литая с невыдвижным шпинделем фланцевая под электропривод 30ч915бр DN 800 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч915бр;Параллельная;Фланцевое;Под электропривод;800;10;Чугун;0;Под заказ;1000025;0.png;-
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч530бр;Клиновая;Фланцевое;Редукторный;600;10;Чугун;0;Под заказ;1000026;0.png;-
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 1000 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч530бр;Клиновая;Фланцевое;Редукторный;1000;10;Чугун;0;Под заказ;1000027;0.png;-
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 1200 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч530бр;Клиновая;Фланцевое;Редукторный;1200;10;Чугун;0;Под заказ;1000028;0.png;-
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 1400 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч530бр;Клиновая;Фланцевое;Редукторный;1400;10;Чугун;0;Под заказ;1000029;0.png;-
Задвижка клиновая литая с невыдвижным шпинделем фланцевая с редуктором 30ч530бр DN 1600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч530бр;Клиновая;Фланцевое;Редукторный;1600;10;Чугун;0;Под заказ;1000030;0.png;-
Задвижка клиновая литая с невыдвижным шпинделем фланцевая под электропривод 30ч930бр DN 600 PN 1,0 МПа У3, корпус чугун, класс герметичности «D» по ГОСТ 9544-2015;Задвижки;30ч930бр;Клиновая;Фланцевое;Под электропривод;600;10;Чугун;0;Под заказ;1000031;0.png;-
