Наименование;Раздел;Таблица фигур;Тип МИМ;Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Принцип устройства;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22с32п DN 25 PN 4,0 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;25;40;Углеродистая сталь;24;По запросу;49950;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22с32п DN 32 PN 4,0 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;32;40;Углеродистая сталь;27;По запросу;62100;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22с32п DN 40 PN 4,0 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;40;40;Углеродистая сталь;30;По запросу;63750;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22с32п DN 50 PN 4,0 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;50;40;Углеродистая сталь;32;По запросу;70050;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22с32п DN 65 PN 4,0 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;65;40;Углеродистая сталь;55;По запросу;99900;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22с32п DN 80 PN 4,0 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;80;40;Углеродистая сталь;63;По запросу;114300;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22с32п DN 100 PN 4,0 МПа У1 с мембранным исполнительным механизмом, корпус ст. 25Л";Клапаны отсечные;22с32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды);От -40 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;100;40;Углеродистая сталь;72;По запросу;133650;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 15 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;15;16;Коррозионностойкая сталь;22;По запросу;66820;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 20 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;20;16;Коррозионностойкая сталь;23;По запросу;66820;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 25 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;25;16;Коррозионностойкая сталь;24;По запросу;70530;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 32 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;32;16;Коррозионностойкая сталь;27;По запросу;87860;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 40 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;40;16;Коррозионностойкая сталь;30;По запросу;90200;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 50 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;50;16;Коррозионностойкая сталь;32;По запросу;99000;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 65 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;65;16;Коррозионностойкая сталь;55;По запросу;141210;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 80 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;80;16;Коррозионностойкая сталь;63;По запросу;161010;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 100 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;100;16;Коррозионностойкая сталь;72;По запросу;188230;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 125 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 400;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;125;16;Коррозионностойкая сталь;126;По запросу;286410;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 150 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 400;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;150;16;Коррозионностойкая сталь;152;По запросу;337420;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 200 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 400;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;200;16;Коррозионностойкая сталь;190;По запросу;436700;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 250 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 400;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;250;16;Коррозионностойкая сталь;320;По запросу;0;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 300 PN 1,6 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 400;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;300;16;Коррозионностойкая сталь;390;По запросу;0;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 15 PN 2,5 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;15;25;Коррозионностойкая сталь;22;По запросу;66820;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 20 PN 2,5 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;20;25;Коррозионностойкая сталь;23;По запросу;66820;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 25 PN 2,5 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;25;25;Коррозионностойкая сталь;24;По запросу;70530;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 32 PN 2,5 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;32;25;Коррозионностойкая сталь;27;По запросу;87860;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 40 PN 2,5 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;40;25;Коррозионностойкая сталь;30;По запросу;90200;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 50 PN 2,5 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;50;25;Коррозионностойкая сталь;32;По запросу;99000;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 65 PN 2,5 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;65;25;Коррозионностойкая сталь;55;По запросу;141210;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 80 PN 2,5 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;80;25;Коррозионностойкая сталь;63;По запросу;161010;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 100 PN 2,5 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;100;25;Коррозионностойкая сталь;72;По запросу;188230;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 15 PN 4,0 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;15;40;Коррозионностойкая сталь;22;По запросу;66820;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 20 PN 4,0 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;20;40;Коррозионностойкая сталь;23;По запросу;66820;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 25 PN 4,0 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 200;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;25;40;Коррозионностойкая сталь;24;По запросу;70530;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 32 PN 4,0 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;32;40;Коррозионностойкая сталь;27;По запросу;87860;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 40 PN 4,0 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;40;40;Коррозионностойкая сталь;30;По запросу;90200;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 50 PN 4,0 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 250;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;50;40;Коррозионностойкая сталь;32;По запросу;99000;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 65 PN 4,0 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;65;40;Коррозионностойкая сталь;55;По запросу;141210;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 80 PN 4,0 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;80;40;Коррозионностойкая сталь;63;По запросу;161010;Под заказ
"Клапан отсечной фланцевый ""до себя"" нормально закрытый 22нж32п DN 100 PN 4,0 МПа УХЛ1 с мембранным исполнительным механизмом, корпус ст. 12Х18Н9ТЛ";Клапаны отсечные;22нж32п;МИМ 320;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, аммиак, природный газ, мазут и другие жидкие нефтепродукты, жидкие и газообразные углеводородные смеси, масляные фракции и другие среды), коррозионностойкие;От -60 до +150;От -30 до +50;У1;А;ОТК;12;2500;600;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Нормально закрытый;100;40;Коррозионностойкая сталь;72;По запросу;188230;Под заказ
