Наименование;Раздел;Таблица фигур;Короткое наименование;Состав;"Пределы давления
настройки, Рн, кгс/см2 (№ пружины)";Рабочая среда;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Диаметр DN/DN1, мм;Давление PN/PN1, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Блок предохранительных клапанов БПУ Р 25-40 УХЛ1 50нж01нж1 в составе: клапан предохранительный сальниковый фланцевый СППК4Р 25-40нж 17нж25нж DN 25/40 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 25-40-01нж 23нж17нж DN 25 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 50-16-02нж 23нж16нж DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж01нж1;Блок предохранительных клапанов БПУ Р 25-40 УХЛ1 50нж01нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 25-40нж 17нж25нж DN 25 (исп. F) / 40 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 25-40-01нж 23нж17нж DN 25 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 50-16-02нж 23нж16нж DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"4…8 (8); 8…16 (1); 16…25 (2); 25…40 (3)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;25/40;40/16;Коррозионностойкая сталь;131;По запросу;610740;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 50-40 УХЛ1 50нж03нж1 в составе: клапан предохранительный сальниковый фланцевый СППК4Р 50-40нж 17нж25нж DN 50/80 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-40-03нж 23нж17нж1 DN 50 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 80-16-02нж 23нж16нж DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж03нж1;Блок предохранительных клапанов БПУ Р 50-40 УХЛ1 50нж03нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 50-40нж 17нж25нж DN 50 (исп. F) / 80 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 50-40-03нж 23нж17нж1 DN 50 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 80-16-02нж 23нж16нж DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"0,5…1,2 (10); 1,2…2,5 (11); 2,5…4 (12); 4…8 (13); 8…20 (14); 20…30 (15); 30…40 (16)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;40/16;Коррозионностойкая сталь;165;По запросу;909360;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-40 УХЛ1 50нж07нж1 в составе: клапан предохранительный сальниковый фланцевый СППК4Р 80-40нж 17нж25нж DN 80/100 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-40-03нж 23нж17нж1 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 100-16-02нж 23нж16нж DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт";Блок предохранительных клапанов с переключающими устройствами;50нж07нж1;Блок предохранительных клапанов БПУ Р 80-40 УХЛ1 50нж07нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-40нж 17нж25нж DN 80 (исп. F) / 100 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 80-40-03нж 23нж17нж1 DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 100-16-02нж 23нж16нж DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"0,5…1,2 (30); 1,2…3 (31); 3…5 (32); 5…8 (33); 8…20 (35); 20…30 (36); 30…40 (37)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;40/16;Коррозионностойкая сталь;260;По запросу;1292940;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-40 УХЛ1 50нж11нж1 в составе: клапан предохранительный сальниковый фланцевый СППК5Р 100-40нж 17нж25нж DN 100/150 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-40-03нж 23нж17нж1 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 150-16-02нж 23нж16нж DN 150 PN 1,6 МПа, корпус ст. 12Х18Н9ТЛ - 1 шт";Блок предохранительных клапанов с переключающими устройствами;50нж11нж1;Блок предохранительных клапанов БПУ Р 100-40 УХЛ1 50нж11нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-40нж 17нж25нж DN 100 (исп. F) / 150 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 100-40-03нж 23нж17нж1 DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 150-16-02нж 23нж16нж DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"8…16 (55); 16…26 (56); 26…40 (57)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;40/16;Коррозионностойкая сталь;450;По запросу;1868290;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 150-40 УХЛ1 50нж15нж1 в составе: клапан предохранительный сальниковый фланцевый СППК4Р 150-40нж 17нж21нж DN 150/200 PN 4,0/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 150-40-03нж 23нж17нж1 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 200-16-01нж 23нж16нж DN 200 PN 1,6 МПа, корпус ст. 12Х18Н9ТЛ - 1 шт";Блок предохранительных клапанов с переключающими устройствами;50нж15нж1;Блок предохранительных клапанов БПУ Р 150-40 УХЛ1 50нж15нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 150-40нж 17нж21нж DN 150 (исп. F) / 200 (исп. В) PN 4,0 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 150-40-03нж 23нж17нж1 DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 200-16-01нж 23нж16нж DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"8…12 (74); 12…18 (75); 18…25 (76); 25…35 (77); 35…40 (78)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;150/200;40/16;Коррозионностойкая сталь;685;По запросу;2893070;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 50-63 УХЛ1 50нж04нж1 в составе: клапан предохранительный сальниковый фланцевый СППК5Р 50-63нж 17нж16нж DN 50/80 PN 6,3/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-63-01нж 23нж20нж DN 50 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 80-40-02нж 23нж17нж DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж04нж1;Блок предохранительных клапанов БПУ Р 50-63 УХЛ1 50нж04нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-63нж 17нж16нж DN 50 (исп. ?) / 80 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 50-63-01нж 23нж20нж DN 50 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 80-40-02нж 23нж17нж DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"20…34 (55); 30…54 (56); 50…63 (57)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;63/40;Коррозионностойкая сталь;275;По запросу;1630460;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-63 УХЛ1 50нж08нж1 в составе: клапан предохранительный сальниковый фланцевый СППК4Р 80-63нж 17нж89нж DN 80/100  PN 6,3/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-63-01нж 23нж20нж DN 80 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 100-40-02нж 23нж17нж DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж08нж1;Блок предохранительных клапанов БПУ Р 80-63 УХЛ1 50нж08нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-63нж 17нж89нж DN 80 (исп. ?) / 100 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 80-63-01нж 23нж20нж DN 80 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 100-40-02нж 23нж17нж DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"25…35 (38); 35…44 (37); 44…50 (39); 50…63 (40)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;63/40;Коррозионностойкая сталь;380;По запросу;1970640;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-63нж УХЛ1 50нж12нж2 в составе: клапан предохранительный сальниковый фланцевый СППК5Р 100-63нж 17нж16нж DN 100/150 PN 6,3/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-63-01нж 23нж20нж DN 100 PN 6,3 МПа, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 150-40-02нж 23нж17нж DN 150 PN 4,0 МПа, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж12нж2;Блок предохранительных клапанов БПУ Р 100-63нж УХЛ1 50нж12нж2;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-63нж 17нж16нж DN 100 (исп. ?) / 150 (исп. F) PN 6,3 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 100-63-01нж 23нж20нж DN 100 PN 6,3 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 150-40-02нж 23нж17нж DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"25…40 (77); 40…55 (80); 55…63 (81)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;63/40;Коррозионностойкая сталь;745;По запросу;3362000;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 50-160нж УХЛ1 50нж05нж1 в составе: клапан предохранительный сальниковый фланцевый СППК5Р 50-160нж 17нж8нж DN 50/80 PN 16,0/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-160-01нж 23нж19нж DN 50 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 80-40-02нж 23нж17нж DN 80 PN 4,0 МПа, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж05нж1;Блок предохранительных клапанов БПУ Р 50-160нж УХЛ1 50нж05нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 50-160нж 17нж8нж DN 50 (исп. J) / 80 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 50-160-01нж 23нж19нж DN 50 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 80-40-02нж 23нж17нж DN 80 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"53…90 (58); 85…124 (59); 124…141 (60); 140…160 (61)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;160/40;Коррозионностойкая сталь;305;По запросу;1719610;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 80-160 УХЛ1 50нж09нж1 в составе: клапан предохранительный сальниковый фланцевый СППК4Р 80-160нж 17нж90нж DN 80/100 PN 16,0/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-160-01нж 23нж19нж DN 80 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 100-40-02нж 23нж17нж DN 100 PN 4,0 МПа, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж09нж1;Блок предохранительных клапанов БПУ Р 80-160 УХЛ1 50нж09нж1;"клапан предохранительный пружинный сальниковый фланцевый СППК4Р 80-160нж 17нж90нж DN 80 (исп. J) / 100 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 80-160-01нж 23нж19нж DN 80 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 100-40-02нж 23нж17нж DN 100 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"50…63 (40); 63…100 (41); 100…135 (42); 135…160 (43)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;160/40;Коррозионностойкая сталь;405;По запросу;2439860;25-30 рабочих дней
"Блок предохранительных клапанов БПУ Р 100-160нж УХЛ1 50нж13нж2 в составе: клапан предохранительный сальниковый фланцевый СППК5Р 100-160нж 17нж8нж DN 100/150 PN 16,0/4,0 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-160-01нж 23нж19нж DN 100 PN 16,0 МПа, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 150-40-02нж 23нж17нж DN 150 PN 4,0 МПа, корпус ст. 12Х18Н9ТЛ - 1 шт";Блок предохранительных клапанов с переключающими устройствами;50нж13нж2;Блок предохранительных клапанов БПУ Р 100-160нж УХЛ1 50нж13нж2;"клапан предохранительный пружинный сальниковый фланцевый СППК5Р 100-160нж 17нж8нж DN 100 (исп. J) / 150 (исп. F) PN 16,0 (вход) / 4,0 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 100-160-01нж 23нж19нж DN 100 PN 16,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 150-40-02нж 23нж17нж DN 150 PN 4,0 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"63…100 (80); 100…125 (81); 110…145 (82); 135…160 (83)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;160/40;Коррозионностойкая сталь;780;По запросу;3730700;25-30 рабочих дней
"Блок предохранительных клапанов БПУ С 200-16нж УХЛ1 50нж16нж4 в составе: клапан предохранительный пружинный сильфонный фланцевый уравновешенного типа СППК4С 200-16нж 17нж13нж1 DN 200/300 PN 1,6/0,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 200-16-01нж 23нж16нж DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ  - 1 шт.; переключающее устройство ПУ 300-6-01нж 23нж18нж DN 300 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж16нж4;Блок предохранительных клапанов БПУ С 200-16нж УХЛ1 50нж16нж4;"клапан предохранительный пружинный сильфонный фланцевый уравновешенного типа СППК4С 200-16нж 17нж13нж1 DN 200 (исп. В) / 300 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 200-16-01нж 23нж16нж DN 200 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 300-6-01нж 23нж18нж DN 300 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";;Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;200/300;16/6;Коррозионностойкая сталь;1100;По запросу;5836420;25-30 рабочих дней
"Блок предохранительных клапанов БПУ 50-16 УХЛ1 50нж02нж в составе: клапан предохранительный сальниковый фланцевый СППК4 50-16нж 17нж13нж DN 50/80 PN 1,6/0,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 50-16-03нж 23нж16нж1 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 80-6-01нж 23нж18нж DN 80 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж02нж;Блок предохранительных клапанов БПУ 50-16 УХЛ1 50нж02нж;"клапан предохранительный пружинный сальниковый фланцевый СППК4 50-16нж 17нж13нж DN 50 (исп. В) / 80 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 50-16-03нж 23нж16нж1 DN 50 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 80-6-01нж 23нж18нж DN 80 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"0,5…1,2 (10); 1,2…2,5 (11); 2,5…4 (12); 4…8 (13); 8…16 (14)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;50/80;16/6;Коррозионностойкая сталь;154;По запросу;779920;25-30 рабочих дней
"Блок предохранительных клапанов БПУ 80-16 УХЛ1 50нж06нж в составе: клапан предохранительный сальниковый фланцевый СППК4 80-16нж 17нж13нж DN 80/100 PN 1,6/0,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 80-16-03нж 23нж16нж1 DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 100-6-01нж 23нж18нж DN 100 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";Блок предохранительных клапанов с переключающими устройствами;50нж06нж;Блок предохранительных клапанов БПУ 80-16 УХЛ1 50нж06нж;"клапан предохранительный пружинный сальниковый фланцевый СППК4 80-16нж 17нж13нж DN 80 (исп. В) / 100 (исп. В) PN 1,6 (вход) / 0,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 80-16-03нж 23нж16нж1 DN 80 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 100-6-01нж 23нж18нж DN 100 PN 0,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"0,5…1,2 (30); 1,2…3 (31); 3…5 (32); 5…8 (33); 8…16 (34)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;80/100;16/6;Коррозионностойкая сталь;210;По запросу;1172190;25-30 рабочих дней
"Блок предохранительных клапанов БПУ 100-16 УХЛ1 50нж10нж в составе: клапан предохранительный сальниковый фланцевый СППК5 100-16нж 17нж7нж DN 100/150 PN 1,6/1,6 МПа УХЛ1, пружина № ?, Рн=? кгс/см², корпус ст. 12Х18Н9ТЛ, класс герметичности «А» по ГОСТ 9544-2015 - 2 шт.; переключающее устройство ПУ 100-16-03нж 23нж16нж1 DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 150-16-02нж 23нж16нж DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт";Блок предохранительных клапанов с переключающими устройствами;50нж10нж;Блок предохранительных клапанов БПУ 100-16 УХЛ1 50нж10нж;"клапан предохранительный пружинный сальниковый фланцевый СППК5 100-16нж 17нж7нж DN 100 (исп. В) / 150 (исп. В) PN 1,6 (вход) / 1,6 (выход) МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 2 шт.; переключающее устройство ПУ 100-16-03нж 23нж16нж1 DN 100 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.; переключающее устройство ПУ 150-16-02нж 23нж16нж DN 150 PN 1,6 МПа УХЛ1, корпус ст. 12Х18Н9ТЛ - 1 шт.";"0,5…1 (50); 0,8…1,6 (51); 1,5…3 (52); 2,5…4,5 (53); 4,5…8,5 (54); 8…16 (55)";Вода, воздух, пар, природный газ, жидкие углеводороды и нефтепродукты, масляные фракции, нефтехимические и другие, среды, в которых скорость коррозии материала корпуса не привышает 0,2 мм в год;От -60 до +600;От -60 до +45;УХЛ1;А;ОТК;10;830;180;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;100/150;16/6;Коррозионностойкая сталь;380;По запросу;1646320;25-30 рабочих дней
